,countries
0,LV
1,BE
2,BF
3,BG
4,BA
5,BB
6,BM
7,BO
8,JP
9,BI
10,BJ
11,BT
12,JO
13,BR
14,CR
15,JE
16,BY
17,RU
18,RW
19,RS
20,RE
21,LR
22,RO
23,GW
24,GU
25,GT
26,GR
27,BH
28,GG
29,GF
30,GE
31,GB
32,GA
33,GN
34,GM
35,GL
36,GI
37,GH
38,OM
39,BW
40,HR
41,BS
42,HT
43,HU
44,HK
45,HN
46,VE
47,PW
48,PT
49,PY
50,PA
51,PF
52,PG
53,PE
54,PK
55,PH
56,PL
57,ZM
58,EG
59,ZA
60,AL
61,AO
62,ET
63,SO
64,ZW
65,KY
66,ES
67,ER
68,MG
69,UY
70,MC
71,MM
72,MO
73,MN
74,MK
75,MU
76,MT
77,MW
78,MQ
79,MR
80,IM
81,UG
82,UA
83,MX
84,IL
85,FR
86,FI
87,FJ
88,NL
89,NO
90,NA
91,VU
92,NC
93,NG
94,NZ
95,CI
96,CH
97,CO
98,CN
99,CM
100,CL
101,CA
102,CF
103,CD
104,CZ
105,XX
106,CX
107,CS
108,MA
109,XV
110,CU
111,SY
112,KE
113,KH
114,SU
115,SK
116,KR
117,SI
118,KP
119,KW
120,SN
121,SL
122,KZ
123,SA
124,SG
125,SE
126,SD
127,DO
128,DJ
129,DK
130,DE
131,YE
132,DZ
133,US
134,LB
135,LA
136,TW
137,TR
138,LK
139,LI
140,TN
141,LT
142,LU
143,TJ
144,LS
145,TH
146,TG
147,TC
148,LY
149,VA
150,AE
151,AD
152,AF
153,IQ
154,IS
155,IR
156,AM
157,IT
158,VN
159,AN
160,AR
161,AU
162,AT
163,IN
164,TZ
165,IE
166,ID
167,MY
168,CY
169,QA
170,BD
171,MZ
