"","unique.base.edge.","source","target","f2005","f2006","f2007","f2008","f2009","f2010","f2011","f2012","f2013","f2014","f2015","w2005","w2006","w2007","w2008","w2009","w2010","w2011","w2012","w2013","w2014","w2015","f_tot"
"1","AR-US","AR","US",336,246,196,170,164,128,138,240,266,58,108,0.00208475522739964,0.00161863403079353,0.00123373639585314,0.00103546151128653,0.00102329876580185,0.000785830493906744,0.000844992805314882,0.00128251030016085,0.00152536055279984,0.000353878631831993,0.000828907377275658,2050
"2","AR-NZ","AR","NZ",6,6,0,4,4,6,2,0,4,2,2,3.72277719178507e-05,3.94788787998421e-05,0,2.43638002655654e-05,2.49585064829721e-05,3.68358044018786e-05,1.22462725407954e-05,0,2.29377526736818e-05,1.22027114424825e-05,1.53501366162159e-05,36
"3","AU-NZ","AU","NZ",98,70,164,372,320,482,202,386,228,72,0,0.000608053607991562,0.000460586919331491,0.00103231004550977,0.00226583342469758,0.00199668051863776,0.00295914295361758,0.00123687352662033,0.00206270406609203,0.00130745190239986,0.000439297611929371,0,2394
"4","AU-US","AU","US",428,574,764,1076,1284,1158,978,1110,896,680,814,0.00265558106347335,0.00377681273851823,0.00480905411444793,0.0065538622714371,0.00801168058103403,0.00710931024956258,0.00598842727244895,0.00593161013824392,0.00513805659890472,0.00414892189044406,0.00624750560279987,9762
"5","AR-PY","AR","PY",75,0,0,0,3,87,0,0,0,0,54,0.000465347148973134,0,0,0,1.8718879862229e-05,0.00053411916382724,0,0,0,0,0.000414453688637829,219
"6","AR-MX","AR","MX",44,48,38,46,50,18,36,30,20,8,26,0.000273003660730905,0.000315831030398737,0.000239193791032751,0.000280183703054002,0.000311981331037151,0.000110507413205636,0.000220432905734317,0.000160313787520106,0.000114688763368409,4.88108457699301e-05,0.000199551776010806,364
"7","AR-UY","AR","UY",22,34,12,38,84,22,6,6,18,2,2,0.000136501830365453,0.000223713646532438,7.55348813787634e-05,0.000231456102522872,0.000524128636142413,0.000135064616140222,3.67388176223862e-05,3.20627575040212e-05,0.000103219887031568,1.22027114424825e-05,1.53501366162159e-05,246
"8","AT-US","AT","US",84,68,134,136,130,66,62,50,68,78,76,0.00052118880684991,0.000447427293064877,0.000843472842062858,0.000828369209029224,0.000811151460696592,0.000405193848420665,0.000379634448764657,0.000267189645866843,0.000389941795452591,0.000475905746256818,0.000583305191416204,952
"9","AT-JP","AT","JP",40,36,60,48,104,88,52,80,60,46,80,0.000248185146119005,0.000236873272799053,0.000377674406893817,0.000292365603186785,0.000648921168557274,0.000540258464560887,0.00031840308606068,0.000427503433386949,0.000344066290105227,0.000280662363177098,0.000614005464648635,694
"10","AU-JP","AU","JP",124,188,258,328,236,196,244,406,240,158,184,0.000769373952968915,0.00123700486906172,0.00162399994964341,0.00199783162177636,0.00147255188249535,0.0012033029437947,0.00149404524997704,0.00216957992443877,0.00137626516042091,0.000964014203956119,0.00141221256869186,2562
