"","Source","Target","edgelist2$f_tot"
"1",0,18,2050
"2",0,16,36
"3",1,16,2394
"4",1,18,9762
"5",0,19,219
"6",0,67,364
"7",0,39,246
"8",2,18,952
"9",2,15,694
"10",1,15,2562
"11",3,18,64
"12",4,18,20
"13",3,84,6
"14",0,35,210
"15",2,20,1803
"16",1,96,834
"17",1,23,2372
"18",1,35,2310
"19",0,70,178
"20",0,17,484
"21",0,50,582
"22",5,170,68
"23",1,62,1198
"24",6,36,44
"25",1,27,320
"26",1,69,748
"27",1,20,893
"28",0,23,802
"29",1,24,90
"30",2,34,22
"31",0,96,120
"32",0,152,81
"33",4,87,57
"34",2,53,168
"35",1,32,1540
"36",2,40,732
"37",2,41,56
"38",2,111,110
"39",2,164,59
"40",1,164,28
"41",2,110,72
"42",2,17,256
"43",1,50,668
"44",7,36,80
"45",0,77,120
"46",0,21,110
"47",4,21,10
"48",2,67,138
"49",0,15,338
"50",1,25,242
"51",1,53,217
"52",1,30,1642
"53",1,28,2318
"54",0,51,244
"55",0,20,165
"56",0,106,33
"57",2,29,174
"58",7,50,24
"59",1,36,812
"60",5,53,44
"61",5,18,102
"62",1,40,500
"63",5,40,12
"64",5,17,10
"65",5,23,34
"66",5,50,6
"67",5,28,12
"68",5,57,2
"69",2,6,24
"70",2,0,62
"71",2,1,112
"72",2,5,50
"73",2,168,6
"74",2,183,2
"75",2,70,124
"76",2,145,78
"77",8,20,10
"78",2,47,82
"79",2,201,14
"80",2,49,12
"81",2,170,36
"82",2,62,494
"83",2,98,56
"84",2,188,42
"85",2,92,96
"86",2,154,12
"87",2,66,103
"88",1,66,314
"89",2,112,110
"90",2,63,52
"91",2,200,39
"92",2,99,208
"93",2,16,96
"94",2,155,18
"95",2,48,33
"96",2,64,9
"97",2,32,142
"98",2,30,114
"99",2,75,22
"100",2,81,160
"101",2,69,128
"102",2,118,168
"103",6,18,14
"104",2,202,44
"105",2,93,16
"106",2,185,20
"107",2,21,236
"108",0,36,446
"109",0,32,76
"110",2,36,6
"111",2,109,12
"112",0,105,80
"113",0,182,10
"114",0,28,302
"115",0,66,41
"116",0,69,60
"117",1,17,1712
"118",1,21,1218
"119",1,207,90
"120",0,40,76
"121",0,1,152
"122",0,62,132
"123",0,92,16
"124",0,195,18
"125",0,53,74
"126",0,118,42
"127",0,2,64
"128",0,57,84
"129",0,29,338
"130",0,107,60
"131",0,49,20
"132",0,24,52
"133",0,159,26
"134",0,81,186
"135",1,51,20
"136",1,99,198
"137",1,82,214
"138",1,0,26
"139",1,2,260
"140",1,70,214
"141",1,29,520
"142",1,47,32
"143",1,107,492
"144",1,105,620
"145",1,120,80
"146",1,52,52
"147",1,116,10
"148",1,58,378
"149",1,44,340
"150",1,65,48
"151",1,190,2
"152",1,55,10
"153",1,26,129
"154",1,85,267
"155",1,152,327
"156",1,87,132
"157",1,239,12
"158",1,93,4
"159",9,18,124
"160",0,27,14
"161",0,120,38
"162",0,135,36
"163",0,99,28
"164",0,82,26
"165",0,173,18
"166",6,35,2
"167",1,57,368
"168",1,92,68
"169",0,154,4
"170",0,111,26
"171",0,87,72
"172",7,23,12
"173",10,18,154
"174",0,109,6
"175",8,18,136
"176",11,152,3
"177",11,18,26
"178",2,134,8
"179",0,48,93
"180",0,94,2
"181",0,30,66
"182",0,183,12
"183",5,36,2
"184",1,142,2
"185",2,76,28
"186",2,114,2
"187",12,16,6
"188",8,16,2
"189",0,146,4
"190",0,198,27
"191",0,139,10
"192",4,64,1
"193",6,23,18
"194",4,135,2
"195",13,110,16
"196",2,122,44
"197",7,28,6
"198",4,23,4
"199",7,18,2
"200",2,14,84
"201",2,10,68
"202",2,143,50
"203",2,133,30
"204",2,31,32
"205",1,67,538
"206",2,54,14
"207",2,77,30
"208",2,147,30
"209",2,33,46
"210",2,65,6
"211",2,177,10
"212",0,78,18
"213",0,14,8
"214",0,168,6
"215",1,168,10
"216",1,41,6
"217",1,182,8
"218",1,135,54
"219",1,114,14
"220",1,111,8
"221",1,159,6
"222",1,122,2
"223",1,22,10
"224",1,31,8
"225",1,64,15
"226",1,33,12
"227",1,141,4
"228",2,42,10
"229",0,117,6
"230",1,98,16
"231",1,132,14
"232",1,77,12
"233",0,124,6
"234",3,180,4
"235",2,51,22
"236",0,46,16
"237",0,97,4
"238",0,93,16
"239",0,63,6
"240",2,25,8
"241",13,28,2
"242",10,53,70
"243",5,145,8
"244",2,124,96
"245",5,35,12
"246",5,20,30
"247",8,96,158
"248",2,125,4
"249",2,169,34
"250",2,217,42
"251",2,85,84
"252",14,18,14
"253",2,126,10
"254",0,31,4
"255",1,124,8
"256",0,110,12
"257",0,147,18
"258",0,47,26
"259",0,65,8
"260",0,207,32
"261",0,174,4
"262",4,119,2
"263",1,200,2
"264",1,89,6
"265",1,173,4
"266",1,118,18
"267",11,185,2
"268",0,178,6
"269",1,49,26
"270",1,134,12
"271",1,136,20
"272",1,203,26
"273",8,134,48
"274",2,27,48
"275",0,131,4
"276",1,37,2
"277",7,21,4
"278",5,2,4
"279",5,16,2
"280",4,17,2
"281",7,110,52
"282",2,102,4
"283",2,46,6
"284",1,157,30
"285",2,117,32
"286",0,218,26
"287",2,190,4
"288",2,161,54
"289",1,13,4
"290",1,178,14
"291",1,110,22
"292",1,68,48
"293",1,186,98
"294",9,1,8
"295",7,57,2
"296",7,107,4
"297",11,35,2
"298",3,35,6
"299",10,35,4
"300",7,35,4
"301",10,2,2
"302",0,98,4
"303",0,177,12
"304",0,42,4
"305",7,102,12
"306",1,115,2
"307",10,40,42
"308",0,37,2
"309",1,133,36
"310",10,170,56
"311",1,169,150
"312",1,171,24
"313",2,144,4
"314",2,203,16
"315",2,58,34
"316",2,74,16
"317",1,38,2
"318",2,61,2
"319",5,118,30
"320",1,39,4
"321",8,57,4
"322",1,195,12
"323",1,226,18
"324",0,41,24
"325",1,143,2
"326",3,100,2
"327",0,88,16
"328",8,152,3
"329",0,130,2
"330",0,33,20
"331",6,81,4
"332",1,161,12
"333",14,28,2
"334",10,118,16
"335",2,174,4
"336",14,50,14
"337",5,168,6
"338",5,107,4
"339",13,36,2
"340",7,124,14
"341",10,17,6
"342",2,216,30
"343",5,1,4
"344",5,99,2
"345",8,70,2
"346",2,50,6
"347",2,228,2
"348",1,166,2
"349",1,59,2
"350",0,73,2
"351",1,54,36
"352",1,119,2
"353",1,73,16
"354",1,163,4
"355",1,81,86
"356",1,46,56
"357",1,45,54
"358",3,16,2
"359",13,18,6
"360",0,58,12
"361",6,28,2
"362",8,82,8
"363",8,93,4
"364",5,164,4
"365",6,64,3
"366",10,81,6
"367",0,64,3
"368",1,56,2
"369",1,175,2
"370",1,126,6
"371",4,42,2
"372",9,152,6
"373",2,131,4
"374",10,155,6
"375",7,171,12
"376",4,28,2
"377",5,159,10
"378",10,62,2
"379",2,167,12
"380",10,32,2
"381",1,80,28
"382",2,8,6
"383",2,233,8
"384",10,21,2
"385",10,76,6
"386",1,78,2
"387",1,154,2
"388",1,112,2
"389",1,233,1
"390",1,155,6
"391",0,164,7
"392",10,202,4
"393",10,63,2
"394",3,28,2
"395",3,66,1
"396",0,85,9
"397",2,23,2
"398",1,209,2
"399",10,66,1
"400",10,50,2
"401",1,218,4
"402",14,36,6
"403",1,117,2
"404",1,48,12
"405",7,20,2
"406",3,129,2
"407",2,28,2
"408",2,73,6
"409",6,217,2
"410",4,70,2
"411",2,45,8
"412",13,40,4
"413",10,41,2
"414",10,92,2
"415",10,145,2
"416",10,29,6
"417",10,28,2
"418",10,112,2
"419",10,216,4
"420",2,26,3
"421",1,147,2
"422",2,39,4
"423",10,24,2
"424",4,102,2
"425",6,24,2
"426",0,125,2
"427",15,0,8
"428",16,1,884
"429",17,1,1054
"430",18,1,3146
"431",17,2,856
"432",19,0,116
"433",20,2,2063
"434",21,0,462
"435",21,2,1198
"436",18,11,60
"437",22,1,212
"438",23,1,786
"439",18,0,1264
"440",24,1,14
"441",25,1,48
"442",26,1,798
"443",27,1,1102
"444",28,10,206
"445",28,0,450
"446",29,2,142
"447",29,1,666
"448",30,1,3474
"449",31,10,4
"450",31,2,24
"451",32,1,1198
"452",30,2,916
"453",33,1,146
"454",34,2,14
"455",18,2,1070
"456",20,1,1130
"457",35,1,866
"458",15,1,356
"459",36,6,230
"460",35,0,46
"461",18,13,16
"462",37,2,122
"463",15,2,204
"464",38,1,2
"465",39,1,46
"466",40,2,434
"467",41,2,10
"468",42,2,858
"469",43,0,82
"470",43,2,596
"471",21,1,1986
"472",39,0,126
"473",44,1,18
"474",45,1,456
"475",46,3,26
"476",18,3,230
