Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,1,,ivory carvings,sets,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,,18,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,LI,XX,13,,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,US,XX,1,,ivory pieces,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,1,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,14,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,2,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,JP,XX,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,SG,XX,,14,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,JP,XX,1,,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,RU,XX,4,,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,RU,XX,,6,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,IT,XX,3,,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,IT,XX,,3,ivory pieces,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,RU,XX,2,,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,RU,XX,,2,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,BE,XX,,2,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,CG,1,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,XX,,1,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CN,XX,1,,ivory carvings,,P,W
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,XX,,2,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,,2,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,,2,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,IT,XX,,2,ivory pieces,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,IT,,2,,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,NO,GH,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,6,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,1,ivory carvings,,T,I
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,1,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,BE,XX,,32,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,CZ,XX,2,,ivory carvings,sets,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,CZ,XX,,2,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,,1,ivory carvings,sets,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,IN,1,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,3,,ivory carvings,sets,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,1,1,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,1,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,2,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,20,26,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,2,,ivory pieces,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,FR,XX,,1,ivory pieces,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,4,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GB,XX,,21,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GR,XX,65,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,GR,XX,,65,ivory pieces,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,IL,XX,1,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,1,,ivory carvings,sets,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,2,,ivory carvings,sets,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,NL,XX,1,3,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,CH,XX,,1,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,FR,XX,,1,ivory carvings,kg,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,FR,XX,,6.2,ivory carvings,kg,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,FR,XX,1,,ivory carvings,,Q,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,FR,XX,,3,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,GB,XX,,2,ivory carvings,,T,U
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CN,IT,XX,4,,ivory carvings,,E,W
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,CH,XX,7,,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,CH,XX,,21,ivory carvings,,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CZ,US,XX,6,,ivory carvings,,E,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,AU,XX,1,1,ivory carvings,,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CA,XX,4,4,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,7,,ivory carvings,sets,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,7,,ivory carvings,sets,T,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,,1,ivory carvings,sets,,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,1,,ivory carvings,,P,O
2005,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DE,CH,XX,68,,ivory carvings,,T,O
