,Country,2005_import_counts,2006_import_counts,2007_import_counts,2008_import_counts,2009_import_counts,2010_import_counts,2011_import_counts,2012_import_counts,2013_import_counts,2014_import_counts,2015_import_counts,2005_export_counts,2006_export_counts,2007_export_counts,2008_export_counts,2009_export_counts,2010_export_counts,2011_export_counts,2012_export_counts,2013_export_counts,2014_export_counts,2015_export_counts
0,LV,0,0,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,BE,7,3,9,11,7,6,4,2,5,8,9,14.0,13.0,18.0,18.0,2.0,16.0,6.0,12.0,10.0,23.0,30.0
2,BF,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,BG,0,0,2,1,0,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,BA,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,BB,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,BM,1,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,BO,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
8,JP,62,43,38,32,20,19,15,12,12,45,46,28.0,31.0,27.0,15.0,15.0,17.0,12.0,10.0,10.0,23.0,21.0
9,BI,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
10,BJ,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BT,0,0,0,0,0,0,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,JO,1,0,0,1,1,0,0,1,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13,BR,6,2,6,4,3,6,3,0,0,5,3,4.0,2.0,5.0,1.0,4.0,3.0,2.0,6.0,3.0,4.0,1.0
14,CR,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
15,JE,2,1,0,2,0,0,0,0,1,2,0,2.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0
16,BY,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
17,RU,6,17,25,24,9,19,5,6,5,18,12,5.0,7.0,14.0,9.0,8.0,6.0,4.0,3.0,3.0,8.0,4.0
18,RW,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
