,Country,Import count,Export count,Year
0,LV,0,1,2005
1,BE,7,14,2005
2,BF,0,0,2005
3,BG,0,1,2005
4,BA,0,0,2005
5,BB,0,1,2005
6,BM,1,0,2005
7,BO,0,0,2005
8,JP,62,28,2005
9,BI,0,2,2005
10,BJ,0,0,2005
11,BT,0,0,2005
12,JO,1,0,2005
13,BR,6,4,2005
14,CR,0,0,2005
15,JE,2,2,2005
16,BY,0,0,2005
17,RU,6,5,2005
18,RW,0,1,2005
19,RS,0,0,2005
20,RE,0,0,2005
21,LR,0,0,2005
22,RO,2,3,2005
23,GW,0,0,2005
24,GU,0,0,2005
25,GT,1,0,2005
26,GR,8,3,2005
27,BH,0,0,2005
28,GG,0,4,2005
29,GF,0,0,2005
30,GE,0,0,2005
31,GB,60,110,2005
32,GA,0,4,2005
33,GN,0,0,2005
34,GM,1,0,2005
35,GL,0,4,2005
36,GI,0,0,2005
37,GH,0,3,2005
38,OM,0,1,2005
39,BW,0,0,2005
40,HR,1,1,2005
41,BS,0,0,2005
42,HT,0,0,2005
43,HU,3,0,2005
44,HK,21,11,2005
45,HN,0,0,2005
46,VE,0,0,2005
47,PW,0,0,2005
48,PT,12,4,2005
49,PY,0,0,2005
50,PA,0,0,2005
51,PF,0,0,2005
52,PG,0,0,2005
53,PE,0,0,2005
54,PK,0,0,2005
55,PH,0,5,2005
56,PL,2,1,2005
57,ZM,0,2,2005
58,EG,0,2,2005
59,ZA,4,30,2005
60,AL,0,0,2005
61,AO,0,2,2005
62,ET,0,0,2005
63,SO,0,1,2005
64,ZW,0,11,2005
65,KY,0,0,2005
66,ES,16,2,2005
67,ER,0,0,2005
68,MG,0,0,2005
69,UY,1,10,2005
70,MC,10,11,2005
71,MM,0,1,2005
72,MO,2,0,2005
73,MN,0,0,2005
74,MK,0,0,2005
75,MU,0,0,2005
76,MT,2,1,2005
77,MW,0,1,2005
78,MQ,0,0,2005
79,MR,0,0,2005
80,IM,2,2,2005
81,UG,0,0,2005
82,UA,0,1,2005
83,MX,4,0,2005
84,IL,1,10,2005
85,FR,41,76,2005
86,FI,0,0,2005
87,FJ,0,0,2005
88,NL,5,17,2005
89,NO,3,8,2005
90,NA,0,0,2005
