,Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
6741,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AE,GB,XX,,2.0,ivory carvings,,T,O
6742,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CA,XX,,1.0,ivory pieces,,T,O
6743,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,,1.0,ivory carvings,,T,O
6744,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,US,XX,,1.0,ivory carvings,,Q,O
6745,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CA,XX,,2.0,ivory pieces,,P,O
6746,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CA,ZM,,1.0,ivory pieces,,P,O
6747,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CH,XX,,1.0,ivory carvings,,T,O
6748,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,70.0,ivory carvings,,P,O
6749,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,14.0,ivory carvings,,T,O
6750,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,SN,XX,,52.0,ivory carvings,,P,O
6751,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,US,XX,,1.0,ivory carvings,,T,I
6752,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,HK,XX,,1.0,ivory carvings,,T,O
6753,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,KR,XX,,24.0,ivory carvings,,Q,O
6754,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,US,XX,,1.0,ivory carvings,,T,I
6755,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BM,DK,XX,,1.0,ivory carvings,,T,O
6756,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,BE,XX,,13.143,ivory carvings,kg,T,O
6757,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,PT,XX,,5.0,ivory carvings,,E,O
6758,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,AU,,7.0,,ivory pieces,,P,O
6759,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,XX,,18.0,ivory carvings,,T,O
6760,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,,52.0,,ivory pieces,,P,O
6761,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,CH,,4.0,,ivory pieces,,Q,O
6762,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,MO,,1.0,ivory carvings,,Q,O
6763,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,FR,,1.0,,ivory pieces,,P,O
6764,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,XX,,11.0,ivory carvings,,T,O
6765,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,,126.0,,ivory pieces,,P,O
6766,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,,53.0,,ivory pieces,,T,O
6767,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GG,,93.0,,ivory pieces,,P,O
6768,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,JP,,,1.0,ivory carvings,,T,O
6769,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,JP,,1.0,,ivory pieces,,P,O
6770,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,SG,,4.0,,ivory pieces,,Q,O
6771,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,TH,,1.0,,ivory pieces,,Q,O
6772,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,104.0,ivory carvings,,P,O
6773,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,37.0,ivory carvings,,Q,O
6774,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,XX,,3.0,ivory carvings,,T,I
6775,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,309.0,,ivory pieces,,P,O
6776,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,US,,37.0,,ivory pieces,,Q,O
6777,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,AT,XX,1.0,1.0,ivory carvings,,Q,O
6778,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,AT,XX,2.0,3.0,ivory carvings,,T,O
6779,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,BE,XX,,2.0,ivory carvings,,T,O
6780,2014,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CH,DE,XX,1.0,1.0,ivory carvings,,Q,O
