,Country,Total imports,Total exports,Net imports,2005_net_import_counts,2005_import_counts,2005_export_counts,2006_net_import_counts,2006_import_counts,2006_export_counts,2007_net_import_counts,2007_import_counts,2007_export_counts,2008_net_import_counts,2008_import_counts,2008_export_counts,2009_net_import_counts,2009_import_counts,2009_export_counts,2010_net_import_counts,2010_import_counts,2010_export_counts,2011_net_import_counts,2011_import_counts,2011_export_counts,2012_net_import_counts,2012_import_counts,2012_export_counts,2013_net_import_counts,2013_import_counts,2013_export_counts,2014_net_import_counts,2014_import_counts,2014_export_counts,2015_net_import_counts,2015_import_counts,2015_export_counts
0,LV,1.0,3.0,-2.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BE,71.0,162.0,-91.0,-7.0,7.0,14.0,-10.0,3.0,13.0,-9.0,9.0,18.0,-7.0,11.0,18.0,5.0,7.0,2.0,-10.0,6.0,16.0,-2.0,4.0,6.0,-10.0,2.0,12.0,-5.0,5.0,10.0,-15.0,8.0,23.0,-21.0,9.0,30.0
2,BF,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,BG,4.0,4.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,BA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,1.0
5,BB,0.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,BM,4.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7,BO,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,JP,344.0,209.0,135.0,34.0,62.0,28.0,12.0,43.0,31.0,11.0,38.0,27.0,17.0,32.0,15.0,5.0,20.0,15.0,2.0,19.0,17.0,3.0,15.0,12.0,2.0,12.0,10.0,2.0,12.0,10.0,22.0,45.0,23.0,25.0,46.0,21.0
9,BI,0.0,7.0,-7.0,-2.0,0.0,2.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
