,Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
7644,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AE,GB,XX,,1.0,ivory carvings,,T,O
7645,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CA,XX,,1.0,ivory pieces,,P,O
7646,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,1.0,1.0,ivory carvings,,Q,O
7647,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,CH,XX,8.0,8.0,ivory carvings,,T,O
7648,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AT,US,XX,52.0,,ivory carvings,,Q,O
7649,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CA,XX,,52.0,ivory pieces,,P,O
7650,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,CA,XX,,14.0,ivory pieces,,T,O
7651,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,103.0,ivory carvings,,P,O
7652,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,GB,XX,,13.0,ivory carvings,,T,O
7653,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,JP,,,1.0,ivory carvings,,Q,O
7654,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,SG,XX,,1.0,ivory pieces,,Q,O
7655,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,AU,US,XX,,1.0,ivory carvings,,T,I
7656,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,CH,XX,,7.0,ivory carvings,,T,O
7657,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,CH,,1.0,,ivory carvings,,T,O
7658,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BE,KR,XX,12.0,,ivory carvings,,E,O
7659,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,BR,GB,XX,,2.0,ivory carvings,,T,O
7660,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,AU,,145.0,,ivory pieces,,P,O
7661,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,BE,XX,,2.0,ivory carvings,,P,O
7662,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,XX,,2.0,ivory carvings,,Q,O
7663,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,,2.0,,ivory carvings,,Q,O
7664,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,,52.0,,ivory pieces,,P,O
7665,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,GB,,2.0,,ivory pieces,,T,O
7666,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,IT,XX,,1.0,ivory carvings,,Q,O
7667,2015,I,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,CA,IT,,1.0,,ivory pieces,,Q,O
